Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2017,"Jackson County, MS",28059,1661,27.07,38.23,38.47,3187.81,27.35,11.9,3129022,36297,142369,52667,53794,5167522,67711
2018,"Jackson County, MS",28059,1606,27.47,38.1,38.37,3192.64,27.73,11.81,3224921,37499,143277,52671,54850,5372768,68046
2016,"Jackson County, MS",28059,1651,26.93,38.1,38.33,3183.62,27.11,12.08,3061174,35715,141603,53538,53414,5057302,68036
2017,"Rankin County, MS",28121,1732,28.23,38.02,38.17,3232.17,27.8,12.89,4389425,43135,152919,68381,44355,6596095,89834
2018,"Rankin County, MS",28121,1744,28.51,37.88,38.11,3226.85,28.44,12.6,4542147,44661,153902,68973,45650,6873371,90935
2016,"Rankin County, MS",28121,1802,27.93,38.14,38.28,3259.23,28.04,13.16,4333829,42738,151527,68388,44550,6476006,89096
2017,"Boone County, MO",29019,2072,29.09,38.48,38.41,3266.63,26.43,11.39,5210169,46027,178523,105311,48187,8216800,128958
2016,"Boone County, MO",29019,2093,29.01,38.67,38.59,3313.24,26.23,11.75,5114021,44535,176667,104079,47824,7867835,126747
2018,"Boone County, MO",29019,2050,29.19,38.41,38.32,3251.52,26.87,11.25,5378837,47687,180005,105711,49266,8583931,130016
2017,"Clay County, MO",29047,3040,28.7,38.57,38.7,3314.26,27.13,11.49,8024623,46747,242593,114045,53850,11340485,141227
2016,"Clay County, MO",29047,2962,28.78,38.54,38.68,3323.75,26.68,11.43,7806752,45768,238618,111464,53861,10921142,136897
2018,"Clay County, MO",29047,3105,29.08,38.46,38.56,3311.04,27.17,11.3,8386670,48381,246365,113328,54594,11919317,141327
2016,"Franklin County, MO",29071,1248,27.77,38.35,38.65,3304.0,27.51,11.74,2647673,41146,102726,42030,41637,4226728,55500
2017,"Franklin County, MO",29071,1256,27.66,38.49,38.68,3327.5,27.54,11.78,2745521,43552,103288,42296,43061,4498362,55681
2018,"Franklin County, MO",29071,1174,27.89,38.43,38.73,3322.01,27.98,11.79,2869871,45719,103670,41972,44162,4739682,55669
2018,"Greene County, MO",29077,3309,27.63,38.49,38.74,3329.12,27.16,11.48,7657362,44837,291923,180053,50597,13088916,220672
2016,"Greene County, MO",29077,3579,27.59,38.54,38.72,3321.33,26.84,11.3,7078067,40844,287863,176869,48247,11757519,214829
2017,"Greene County, MO",29077,3339,27.75,38.48,38.63,3317.55,27.0,11.67,7410413,43187,289819,178515,49599,12516334,218040
2018,"Jackson County, MO",29095,9065,28.11,38.39,38.47,3231.8,27.49,10.53,20776309,47054,700307,403448,65341,32952389,483599
2017,"Jackson County, MO",29095,9291,28.01,38.47,38.51,3244.54,27.38,10.61,20104847,45310,697720,399907,63565,31613770,477744
2016,"Jackson County, MO",29095,9408,27.91,38.49,38.56,3247.12,27.19,10.8,19370711,43764,692255,394840,62351,30295786,469536
2016,"Jasper County, MO",29097,1669,26.43,38.55,38.63,3329.79,27.23,11.35,2804630,38126,119197,61275,47958,4544456,73095
2017,"Jasper County, MO",29097,1596,26.28,38.42,38.66,3316.88,27.44,11.42,2904615,39267,120082,61692,49452,4715207,74008
2018,"Jasper County, MO",29097,1570,26.73,38.3,38.53,3270.21,27.42,10.97,2910503,39973,120636,61896,48987,4822124,74516
2018,"Jefferson County, MO",29099,2545,28.36,38.22,38.35,3296.25,27.48,11.02,6418316,42780,224347,53030,40939,9597567,74697
2016,"Jefferson County, MO",29099,2633,28.03,38.44,38.62,3331.46,27.08,11.53,5951043,39469,223345,52785,39114,8815304,73029
2017,"Jefferson County, MO",29099,2516,28.53,38.35,38.43,3313.49,27.04,11.2,6121603,40783,223749,52284,39791,9125229,73323
2016,"St. Charles County, MO",29183,4487,29.67,38.42,38.58,3334.37,26.3,12.17,14027012,49356,390599,156100,48014,19278497,199809
2018,"St. Charles County, MO",29183,4306,30.18,38.37,38.54,3327.59,26.64,11.74,15349797,53745,399182,159901,49861,21453895,207251
2017,"St. Charles County, MO",29183,4459,30.15,38.36,38.52,3323.62,26.37,12.11,14535782,51137,395245,159059,48365,20211682,205106
2016,"St. Louis County, MO",29189,11692,29.51,38.33,38.45,3244.18,26.5,11.39,38424570,66165,998025,652196,63543,66034343,793203
2018,"St. Louis County, MO",29189,11368,29.63,38.24,38.31,3217.56,26.95,11.03,41894203,71360,996945,660883,68017,71141839,808585
2017,"St. Louis County, MO",29189,11374,29.56,38.32,38.39,3226.98,26.67,11.16,39986283,67368,996648,659750,65438,67142042,803218
2016,"St. Louis city, MO",29510,4317,27.94,38.18,38.22,3120.25,27.13,10.26,8205672,43027,312389,247855,69286,13441252,282484
2018,"St. Louis city, MO",29510,4127,28.67,38.15,38.16,3124.88,27.27,9.79,8658522,47643,302838,253229,72572,14428133,290777
2017,"St. Louis city, MO",29510,4138,28.44,38.13,38.22,3127.37,27.27,10.01,8362723,45137,307866,249072,69765,13896137,285447
2016,"Missoula County, MT",30063,1187,28.98,38.7,38.99,3300.53,25.57,11.01,2882090,44646,116352,63375,43482,5194607,82159
2017,"Missoula County, MT",30063,1138,29.4,38.74,38.92,3306.59,26.29,11.18,3044305,47086,117863,64392,45213,5549745,83918
2018,"Missoula County, MT",30063,1063,29.63,38.57,38.81,3275.99,25.97,10.98,3198350,49492,118791,65495,46684,5879212,85572
2016,"Yellowstone County, MT",30111,1935,28.05,38.61,38.63,3273.38,27.39,12.07,4851533,47724,157903,85818,51428,7535696,108886
2017,"Yellowstone County, MT",30111,1898,28.06,38.61,38.7,3283.32,27.22,12.13,5061716,49899,159229,86131,53455,7945423,109381
2018,"Yellowstone County, MT",30111,1808,28.39,38.56,38.67,3298.63,27.54,12.14,5314856,52340,160137,86531,55513,8381581,110308
2017,"Douglas County, NE",31055,8305,29.04,38.34,38.51,3274.23,26.82,11.82,22736053,60202,560573,368331,67225,33747572,437242
2018,"Douglas County, NE",31055,8342,29.26,38.27,38.39,3277.48,26.9,12.17,24113686,63435,566880,370009,70060,35959823,440890
2016,"Douglas County, NE",31055,8832,28.96,38.37,38.54,3285.33,26.48,11.46,21487883,57785,555358,365531,64594,32091294,431369
2017,"Lancaster County, NE",31109,3925,29.05,38.38,38.53,3317.99,26.41,10.46,9647495,47565,313977,181327,52316,14934427,220753
2016,"Lancaster County, NE",31109,4019,29.26,38.43,38.58,3329.3,26.31,10.73,9226890,45870,310440,181292,50295,14239984,219095
2018,"Lancaster County, NE",31109,3893,29.37,38.45,38.6,3319.78,26.65,10.42,10139195,49889,317272,184969,53848,15828502,225417
2016,"Sarpy County, NE",31153,2464,29.42,38.48,38.68,3355.35,26.67,12.03,5988202,47009,178503,80200,51492,8391199,97488
2017,"Sarpy County, NE",31153,2589,29.33,38.43,38.68,3346.8,26.63,12.65,6276421,48385,181678,81604,53054,8790405,100243
2018,"Sarpy County, NE",31153,2386,29.43,38.3,38.5,3344.03,26.98,12.4,6590189,50333,184459,82982,55320,9284454,102132
2017,"Clark County, NV",32003,26949,28.62,38.34,38.53,3204.19,26.46,11.78,58863446,45087,2183310,1003312,51108,98439211,1306107
2016,"Clark County, NV",32003,27388,28.5,38.38,38.57,3220.08,26.36,11.92,56051436,43573,2140547,975496,50468,93269102,1263139
2018,"Clark County, NV",32003,26773,28.85,38.4,38.58,3219.97,26.66,11.89,62511766,47090,2231647,1034568,52471,105087856,1350621
2016,"Washoe County, NV",32031,5387,28.48,38.52,38.8,3245.65,26.61,10.58,13207814,52326,450142,217029,50993,23554120,282338
2018,"Washoe County, NV",32031,5399,28.84,38.46,38.72,3237.18,27.0,9.96,15766014,59639,465735,228714,55607,27776003,297846
2017,"Washoe County, NV",32031,5210,28.72,38.47,38.72,3231.25,27.16,10.03,14555926,56151,457333,223536,53355,25679573,290609
2018,"Hillsborough County, NH",33011,4144,29.85,38.73,38.88,3340.67,27.28,12.59,18029273,61147,415247,219845,68468,25390957,277098
2016,"Hillsborough County, NH",33011,4240,29.45,38.86,39.03,3346.59,26.81,12.6,16508057,56615,411150,214753,64712,23277147,269116
2017,"Hillsborough County, NH",33011,4178,29.53,38.79,38.97,3330.23,27.07,12.71,17203494,58305,413157,216844,66640,24089099,272444
2016,"Merrimack County, NH",33013,1284,29.45,38.89,39.06,3379.21,27.12,12.11,5263310,53868,149150,81680,56378,8034364,102456
2018,"Merrimack County, NH",33013,1305,29.88,38.84,39.03,3349.48,27.49,13.11,5739554,57924,151132,83026,60180,8754211,105234
2017,"Merrimack County, NH",33013,1305,29.62,38.85,39.05,3376.12,27.54,12.12,5467926,55169,150169,82110,58512,8284645,103728
2017,"Rockingham County, NH",33015,2669,30.8,38.8,38.95,3366.53,26.1,12.71,15583411,70163,307281,161007,62653,21559841,213505
2018,"Rockingham County, NH",33015,2650,30.93,38.7,38.85,3350.58,26.23,12.68,16374639,73819,309176,161960,64251,22823053,215921
2016,"Rockingham County, NH",33015,2654,30.77,38.78,38.99,3362.88,26.01,12.67,14767676,66798,304778,158566,59582,20358683,210207
2018,"Strafford County, NH",33017,1143,29.53,38.75,38.96,3350.23,27.39,12.67,4487671,50574,130090,54181,57502,6579205,69720
2017,"Strafford County, NH",33017,1180,29.31,38.67,38.86,3303.4,26.94,12.45,4276622,48263,129421,53789,56673,6246275,68913
2016,"Strafford County, NH",33017,1211,29.36,38.71,38.94,3357.23,27.13,12.58,4104219,46776,128175,53088,55034,5995506,67720
2017,"Atlantic County, NJ",34001,2804,29.26,38.52,38.65,3262.73,27.03,10.15,7400732,46549,266328,132470,53737,12397367,164114
2018,"Atlantic County, NJ",34001,2797,28.97,38.56,38.66,3268.27,27.25,9.96,7676904,48668,265429,136418,55017,12917979,169240
2016,"Atlantic County, NJ",34001,2836,29.06,38.58,38.71,3270.34,27.09,10.16,7187435,45191,267813,133828,52400,12102659,165234
2018,"Bergen County, NJ",34003,9152,32.25,38.47,38.6,3244.59,25.39,11.35,53618510,85951,936692,484493,71679,80509209,668097
2017,"Bergen County, NJ",34003,9339,32.1,38.48,38.63,3255.47,25.1,11.35,51116265,81483,933569,481918,70239,76069906,659418
2016,"Bergen County, NJ",34003,9464,32.0,38.43,38.59,3243.36,25.18,11.32,49315598,79145,928979,482565,69009,73523728,659372
2017,"Burlington County, NJ",34005,4424,30.39,38.55,38.78,3288.7,27.24,10.68,18079628,59389,445196,228401,62956,26439912,284576
2018,"Burlington County, NJ",34005,4365,30.53,38.54,38.7,3294.48,27.24,10.28,18823964,62120,445384,225248,65041,27667447,283327
2016,"Burlington County, NJ",34005,4419,30.23,38.55,38.7,3305.61,26.8,10.81,17570190,57802,446108,223836,61451,25785992,278909
2017,"Camden County, NJ",34007,6022,29.48,38.47,38.64,3239.5,27.65,10.09,16823875,51852,506343,220084,59233,26254721,275974
2016,"Camden County, NJ",34007,6226,29.24,38.45,38.65,3249.5,27.51,9.93,16217253,50164,507075,216994,57438,25436770,271741
2018,"Camden County, NJ",34007,6157,29.59,38.5,38.64,3254.0,28.04,10.07,17542831,54103,507078,221365,60583,27434409,279235
2016,"Cumberland County, NJ",34011,1876,27.35,38.36,38.48,3196.49,27.67,10.3,3258756,37515,153355,64288,54397,5753050,75617
2018,"Cumberland County, NJ",34011,1917,27.81,38.35,38.51,3203.61,28.7,9.66,3455916,40289,150972,64020,56547,6082463,75783
2017,"Cumberland County, NJ",34011,1839,27.32,38.34,38.5,3202.7,28.06,10.21,3332629,38630,151748,64119,55254,5861990,75530
2018,"Essex County, NJ",34013,10425,30.31,38.37,38.38,3206.8,27.06,9.68,33232538,67459,799767,368633,73056,53951104,491167
2016,"Essex County, NJ",34013,10442,29.92,38.4,38.48,3208.11,26.85,9.65,30510692,62253,792617,360473,70091,49342951,475153
2017,"Essex County, NJ",34013,10298,30.19,38.41,38.43,3212.17,26.93,9.63,31611762,64232,795908,365048,71304,51122668,482671
2017,"Gloucester County, NJ",34015,2891,30.26,38.49,38.67,3279.81,27.33,10.55,10651051,52455,290850,115069,52838,15256487,146301
2016,"Gloucester County, NJ",34015,2837,30.14,38.57,38.74,3321.92,27.34,10.44,10293803,50747,290647,112542,52048,14749373,142621
2018,"Gloucester County, NJ",34015,2762,30.34,38.64,38.79,3326.53,27.95,10.53,11096778,54745,291408,117752,53836,15953147,150031
2017,"Hudson County, NJ",34017,10165,30.86,38.48,38.55,3210.89,25.47,10.28,31249253,62461,672922,282222,86634,42031286,371801
2018,"Hudson County, NJ",34017,10234,31.08,38.45,38.57,3206.6,25.47,10.26,32747667,65139,676061,285927,88341,44037762,380231
2016,"Hudson County, NJ",34017,10383,30.68,38.45,38.57,3208.7,25.47,10.1,28563628,58466,668928,273298,80854,39109453,359517
2018,"Hunterdon County, NJ",34019,968,32.36,38.62,38.8,3334.07,25.71,12.15,7874112,89610,124714,52164,67304,11175653,77626
2017,"Hunterdon County, NJ",34019,952,32.19,38.62,38.73,3346.15,25.52,12.02,7526755,84958,124628,51861,68361,10588115,76697
2016,"Hunterdon County, NJ",34019,927,32.06,38.7,38.83,3357.23,25.82,12.49,7467960,83645,124668,51337,63018,10427806,76468
2017,"Mercer County, NJ",34021,4081,30.0,38.5,38.64,3231.92,26.7,11.14,15753264,65877,368602,235259,76417,24282260,283989
2018,"Mercer County, NJ",34021,3999,30.22,38.49,38.67,3239.26,26.91,10.59,16537713,69344,369811,240036,78075,25644178,290324
2016,"Mercer County, NJ",34021,4280,29.88,38.53,38.65,3255.87,26.53,10.91,15327438,64505,368028,234574,75694,23739549,282902
2017,"Middlesex County, NJ",34023,9123,30.53,38.53,38.66,3230.62,26.28,10.91,33754223,58172,827684,453790,70209,48148339,558718
2016,"Middlesex County, NJ",34023,9332,30.56,38.51,38.68,3233.09,26.09,10.77,32738548,56526,825907,443129,69753,46684949,545136
2018,"Middlesex County, NJ",34023,8872,30.8,38.5,38.64,3238.65,26.51,10.69,35356956,61065,829685,461168,71542,50664853,570667
2018,"Monmouth County, NJ",34025,5888,31.58,38.51,38.68,3276.4,25.97,11.06,33362143,79978,621354,285123,60189,49694758,400240
2017,"Monmouth County, NJ",34025,5737,31.36,38.5,38.7,3285.98,25.82,11.14,31930441,75762,622327,281482,58385,47148492,393230
2016,"Monmouth County, NJ",34025,5960,31.18,38.55,38.78,3293.22,25.58,11.17,30701980,72873,623286,279120,56737,45420838,390595
2016,"Morris County, NJ",34027,4633,32.01,38.6,38.74,3305.67,25.39,11.06,31841078,90853,494046,311186,87289,44885619,399961
2017,"Morris County, NJ",34027,4636,32.19,38.64,38.82,3304.49,25.5,11.16,32984011,93555,494225,314577,90669,46237324,402884
2018,"Morris County, NJ",34027,4487,32.39,38.7,38.84,3324.28,25.59,11.27,34543223,98842,494228,318789,92227,48850543,409735
2017,"Ocean County, NJ",34029,8597,29.37,38.84,39.09,3339.75,25.27,11.0,17364133,49749,595470,179280,48468,29623968,261625
2018,"Ocean County, NJ",34029,9015,29.58,38.88,39.08,3344.46,25.4,10.96,18336333,52008,601651,182946,49424,31290457,267728
2016,"Ocean County, NJ",34029,8566,29.27,38.81,39.13,3336.36,24.93,10.78,16675281,48490,590990,175403,47504,28657367,255347
2017,"Passaic County, NJ",34031,6790,29.38,38.37,38.45,3232.99,26.53,10.97,15621267,48294,503694,179356,57299,24325157,245269
2018,"Passaic County, NJ",34031,6542,29.52,38.33,38.43,3219.19,26.67,10.75,16324956,50570,503310,178677,57935,25452236,247583
2016,"Passaic County, NJ",34031,6842,29.26,38.3,38.45,3220.4,26.71,10.98,15466447,47770,503853,178671,57872,24069105,242601
2017,"Somerset County, NJ",34035,3068,31.88,38.54,38.64,3267.12,25.99,11.12,24333047,99533,330700,204383,103087,32915620,260078
2018,"Somerset County, NJ",34035,3210,31.77,38.54,38.69,3269.56,25.95,11.16,25882447,106194,331164,204200,107750,35167552,261644
2016,"Somerset County, NJ",34035,3251,31.64,38.53,38.7,3266.01,25.67,11.24,22280501,92248,329996,200584,96416,30441590,255857
2018,"Sussex County, NJ",34037,1203,30.9,38.73,38.93,3352.11,27.02,11.18,6075460,61757,140799,41341,50568,8695304,63121
2017,"Sussex County, NJ",34037,1213,30.6,38.64,38.86,3350.11,26.58,10.89,5825269,58717,141185,41467,49399,8289938,62655
2016,"Sussex County, NJ",34037,1180,30.77,38.61,38.84,3344.27,27.02,11.1,5682865,56914,141932,41981,47927,8077973,63111
2016,"Union County, NJ",34039,6756,30.56,38.55,38.67,3275.38,26.69,10.09,23809181,62526,553343,236608,72439,34598500,312725
2017,"Union County, NJ",34039,6859,30.77,38.59,38.69,3281.08,26.74,10.38,24904748,65036,555273,239756,74540,36112814,318569
2018,"Union County, NJ",34039,6777,30.84,38.55,38.61,3259.09,26.66,10.43,26176312,68262,558067,248044,74179,38094751,330425
2016,"Warren County, NJ",34041,958,30.27,38.51,38.66,3277.69,26.56,11.54,3683944,51850,106077,36038,51856,5500041,49678
2017,"Warren County, NJ",34041,935,30.3,38.63,38.72,3301.33,27.06,11.68,3789619,53405,105869,36139,53312,5653908,49991
2018,"Warren County, NJ",34041,1020,30.3,38.56,38.73,3296.84,27.25,12.05,3960070,56058,105779,35658,53486,5929716,49918
2018,"Bernalillo County, NM",35001,7078,28.67,38.36,38.43,3174.73,26.78,9.88,17417541,44057,678701,358629,53157,29901472,433196
2017,"Bernalillo County, NM",35001,7436,28.41,38.43,38.59,3189.46,26.63,9.45,16845085,42112,678686,355615,51982,28580510,428267
2016,"Bernalillo County, NM",35001,7574,28.29,38.4,38.56,3184.83,26.43,9.63,16660246,41460,678165,353795,51955,28117016,423642
2017,"Dona Ana County, NM",35013,2674,26.69,38.38,38.56,3208.36,27.01,11.11,4258297,35144,216186,77750,45401,7597698,100148
2016,"Dona Ana County, NM",35013,2839,26.68,38.48,38.66,3226.16,27.23,10.36,4137232,34516,214748,78782,44712,7412201,100621
2018,"Dona Ana County, NM",35013,2587,27.04,38.45,38.71,3232.69,27.53,11.29,4388725,36570,217522,79615,45596,7954729,102594
2017,"Sandoval County, NM",35043,1412,28.69,38.34,38.52,3172.08,27.57,9.51,3588838,39928,142624,32545,39470,5694696,47434
2016,"Sandoval County, NM",35043,1464,28.35,38.27,38.5,3156.95,27.28,9.85,3571644,39762,140471,32038,41765,5585369,46288
2018,"Sandoval County, NM",35043,1390,28.62,38.29,38.43,3172.09,27.51,9.88,3774492,41547,145179,32890,40699,6031791,48129
2017,"San Juan County, NM",35045,1472,27.33,38.52,38.54,3212.71,28.07,9.72,2548112,33613,126902,50907,48196,4265534,62225
2018,"San Juan County, NM",35045,1444,27.5,38.62,38.5,3236.43,28.31,9.67,2606647,35453,125043,50369,49563,4433145,61839
2016,"San Juan County, NM",35045,1726,27.26,38.58,38.48,3226.53,27.62,9.42,2553264,33070,127973,50921,47832,4232106,62547
2017,"Santa Fe County, NM",35049,1222,28.56,38.45,38.76,3096.41,25.84,9.72,4021219,55273,149617,64785,43707,8269830,93813
2016,"Santa Fe County, NM",35049,1290,28.73,38.58,38.75,3098.1,25.68,9.32,4013753,54386,148888,65290,43729,8097452,94521
2018,"Santa Fe County, NM",35049,1180,28.78,38.45,38.65,3117.33,26.22,10.03,4176729,58510,150056,65372,44569,8779840,95089
2017,"Albany County, NY",36001,3083,30.01,38.61,38.66,3286.05,27.36,11.86,11370716,59429,307717,245696,70183,18287445,280310
2018,"Albany County, NY",36001,2886,30.1,38.69,38.71,3301.69,27.55,12.13,11686063,61201,307117,245762,71599,18795747,281480
2016,"Albany County, NY",36001,3045,29.89,38.65,38.74,3310.63,27.25,11.49,10811377,55698,307628,244845,69000,17134394,278159
2016,"Bronx County, NY",36005,21161,28.9,38.56,38.63,3198.5,27.02,10.86,26861675,33721,1445237,319295,51940,48735257,454367
2018,"Bronx County, NY",36005,20121,29.22,38.54,38.58,3194.43,27.29,10.16,29366868,37376,1432132,340273,56640,53527813,486464
2017,"Bronx County, NY",36005,20588,29.1,38.52,38.59,3190.48,27.08,10.16,28239470,36321,1439725,320204,53213,52292355,457726
2016,"Broome County, NY",36007,1985,28.33,38.58,38.83,3316.19,27.75,11.49,4584532,40613,194345,90255,50122,7893023,109063
2018,"Broome County, NY",36007,1877,28.53,38.51,38.67,3305.4,28.21,11.58,4938666,44540,191659,89712,54108,8536497,109057
2017,"Broome County, NY",36007,1979,28.59,38.46,38.63,3285.65,28.05,11.15,4780434,42970,192959,88917,52914,8291518,107735
2017,"Chautauqua County, NY",36013,1344,27.36,38.62,38.83,3315.2,27.71,11.27,2869008,40102,128609,51026,47278,5157481,64372
2018,"Chautauqua County, NY",36013,1299,27.28,38.47,38.7,3263.74,28.05,10.9,2891752,40759,127939,50631,47567,5214677,64279
2016,"Chautauqua County, NY",36013,1345,26.85,38.51,38.78,3300.48,27.37,11.36,2733583,37741,129350,51253,44868,4881841,64436
2017,"Dutchess County, NY",36027,2604,30.43,38.61,38.76,3300.7,27.65,11.22,9944131,53918,293450,117915,57024,15822261,154114
2018,"Dutchess County, NY",36027,2549,30.54,38.64,38.82,3328.57,27.83,12.01,10401875,56365,293718,119264,57713,16555300,156409
2016,"Dutchess County, NY",36027,2519,30.36,38.61,38.73,3318.96,27.59,10.87,9594725,51499,293049,116250,55332,15091649,151823
2016,"Erie County, NY",36029,9916,29.12,38.51,38.7,3267.11,27.47,10.28,27082719,47382,918479,488179,56834,43519017,575241
2017,"Erie County, NY",36029,9870,29.3,38.53,38.66,3268.14,27.68,10.45,28262621,49957,918794,487555,59097,45900592,579105
2018,"Erie County, NY",36029,9812,29.56,38.46,38.59,3262.8,27.76,10.8,29204844,51539,919719,490751,60373,47401067,585283
2017,"Jefferson County, NY",36045,2009,26.88,38.65,38.92,3341.5,27.46,11.61,3148705,45476,113063,57455,57715,5141615,67316
2016,"Jefferson County, NY",36045,1891,26.99,38.67,38.91,3353.28,27.19,11.73,3051010,43674,113015,57697,55983,4935814,67488
2018,"Jefferson County, NY",36045,1864,26.74,38.62,38.95,3341.79,27.65,11.97,3216555,46924,111755,57418,58656,5243969,67512
2018,"Kings County, NY",36047,38574,30.39,38.68,38.73,3236.79,25.04,10.96,83162078,52192,2582830,807891,50141,134804034,1199030
2017,"Kings County, NY",36047,39192,30.19,38.7,38.76,3237.73,24.91,11.26,79900492,50301,2596385,748913,47309,130601127,1122539
2016,"Kings County, NY",36047,40802,29.96,38.7,38.81,3240.91,24.88,11.04,74493720,46140,2611232,722660,46134,120483529,1081803
2018,"Monroe County, NY",36055,7772,29.45,38.57,38.76,3285.96,27.56,10.85,24244314,52951,742474,409439,59703,39314982,496297
2017,"Monroe County, NY",36055,7893,29.36,38.61,38.81,3268.95,27.25,10.87,23536725,51316,742436,405514,58779,38099069,489884
2016,"Monroe County, NY",36055,8004,29.32,38.67,38.85,3293.08,27.29,10.98,22849153,48977,743531,405594,57580,36415834,486735
2018,"Nassau County, NY",36059,14128,31.75,38.58,38.67,3261.27,25.99,11.96,77196503,89839,1358343,670954,68615,122032027,917285
2016,"Nassau County, NY",36059,14329,31.48,38.55,38.73,3261.33,25.75,11.49,71018726,80690,1356463,659624,66057,109452354,896856
2017,"Nassau County, NY",36059,14178,31.64,38.57,38.67,3259.96,25.94,11.4,73777168,85168,1357664,665990,67901,115629541,904606
2016,"New York County, NY",36061,17587,32.16,38.72,38.8,3237.02,23.75,11.34,164282158,165216,1636261,2552106,126243,270336613,3056475
2017,"New York County, NY",36061,17504,32.38,38.66,38.71,3226.79,23.92,11.68,182661023,182821,1629780,2593022,134746,297958121,3095813
2018,"New York County, NY",36061,17020,32.55,38.63,38.71,3224.47,24.02,11.63,191144110,193940,1628701,2602950,138354,315869671,3121586
2017,"Niagara County, NY",36063,2114,28.5,38.57,38.73,3288.72,28.21,10.01,5626876,44181,210866,74780,49601,9316302,91894
2018,"Niagara County, NY",36063,2100,28.89,38.41,38.53,3265.76,28.42,10.18,5789388,45501,210433,75311,50665,9574932,92918
2016,"Niagara County, NY",36063,2139,28.36,38.51,38.66,3289.15,28.23,10.1,5366551,41750,211534,75499,48232,8831474,92256
2016,"Oneida County, NY",36065,2497,28.04,38.55,38.75,3316.49,27.58,12.07,5473076,41069,230348,109205,49693,9460114,131758
2018,"Oneida County, NY",36065,2500,28.51,38.7,38.89,3321.31,28.11,12.18,5901579,44697,229577,110523,52645,10261475,133726
2017,"Oneida County, NY",36065,2555,28.24,38.62,38.8,3301.61,28.03,11.87,5721784,43413,230127,109895,51634,9990483,132503
2016,"Onondaga County, NY",36067,5242,29.05,38.68,38.95,3312.58,27.33,12.97,14286718,48312,464033,256460,58363,22418436,307387
2017,"Onondaga County, NY",36067,5052,29.12,38.71,38.92,3314.24,27.74,12.58,14886146,51012,461791,255108,60836,23556901,307506
2018,"Onondaga County, NY",36067,5236,29.37,38.68,38.86,3306.46,27.9,12.72,15456895,52886,461809,258524,62304,24423221,312507
2017,"Ontario County, NY",36069,984,29.5,38.73,38.98,3353.72,27.29,10.93,3561336,51842,109609,55525,54013,5682340,68686
2016,"Ontario County, NY",36069,997,29.2,38.67,38.93,3383.88,27.14,11.34,3448083,49370,109267,54811,52179,5394472,67752
2018,"Ontario County, NY",36069,966,29.62,38.6,38.8,3351.26,27.3,10.99,3659643,53498,109864,56146,54081,5877518,69625
2017,"Orange County, NY",36071,5092,29.52,38.78,38.95,3320.17,26.88,10.04,12452403,49912,379803,154505,54087,18956852,194272
2016,"Orange County, NY",36071,4993,29.35,38.73,38.93,3295.74,26.65,10.3,12013826,47807,378047,152545,52321,18073352,191780
2018,"Orange County, NY",36071,5065,29.74,38.83,39.0,3305.78,26.85,9.79,13091007,51848,381951,157244,55276,19803237,198137
2018,"Oswego County, NY",36075,1217,28.14,38.81,39.15,3399.0,29.51,12.62,2925997,40538,117898,35487,53383,4779332,45267
2017,"Oswego County, NY",36075,1248,27.46,38.68,38.92,3310.42,29.06,12.7,2836048,39285,118426,35261,53158,4652362,44792
2016,"Oswego County, NY",36075,1331,27.16,38.77,39.05,3339.93,28.93,12.96,2690711,36884,118881,35556,49711,4384851,45176
2016,"Queens County, NY",36081,30377,30.38,38.61,38.77,3225.41,25.13,11.05,63816747,44781,2309032,687366,54458,103401912,986298
2017,"Queens County, NY",36081,29008,30.5,38.58,38.69,3214.7,25.37,11.17,66759822,47956,2296865,703102,55474,110147581,1008812
2018,"Queens County, NY",36081,28042,30.72,38.58,38.7,3216.82,25.57,11.15,69234640,49777,2278906,747272,58731,113437408,1071607
2016,"Rensselaer County, NY",36083,1726,28.9,38.7,38.92,3350.65,28.35,11.67,4677550,45586,159334,55542,54792,7263380,70899
2017,"Rensselaer County, NY",36083,1589,29.3,38.57,38.71,3313.27,27.78,11.59,4839847,47797,159261,56242,56775,7612128,72133
2018,"Rensselaer County, NY",36083,1591,29.56,38.71,38.85,3329.82,28.08,12.21,4988126,49156,159442,57358,57016,7837514,73702
2017,"Richmond County, NY",36085,5444,30.65,38.59,38.7,3238.86,26.08,12.75,15910397,54563,475516,123176,52795,25945587,174099
2016,"Richmond County, NY",36085,5464,30.49,38.64,38.77,3265.67,25.81,12.86,15379157,51934,474214,122402,50888,24627834,173356
2018,"Richmond County, NY",36085,5186,30.78,38.61,38.8,3234.07,26.01,12.89,16654944,56749,476179,130927,56947,27022831,183788
2016,"Rockland County, NY",36087,5440,29.91,38.92,39.15,3318.09,25.78,11.12,11673365,55703,323640,125181,57111,18027665,170437
2017,"Rockland County, NY",36087,5481,29.79,38.98,39.11,3319.73,25.67,11.09,11947328,57966,324839,127980,57529,18829585,172373
2018,"Rockland County, NY",36087,5719,29.94,39.09,39.2,3333.35,25.56,11.02,12534081,60464,325695,131145,58316,19692814,176792
